,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
320,601127.SH,20220225,44.73,47.2,44.73,45.55,44.08,1.47,3.3348,178902.32,823608.925
319,601127.SH,20220228,45,45.98,44.16,45.21,45.55,-0.34,-0.7464,99006.03,442921.15
318,601127.SH,20220301,45.8,46.1,43.7,44.99,45.21,-0.22,-0.4866,110199.53,492563.615
317,601127.SH,20220302,44.1,44.51,43.5,44.13,44.99,-0.86,-1.9115,82616.17,362471.543
316,601127.SH,20220303,44.2,44.41,42.5,42.7,44.13,-1.43,-3.2404,98196.8,422930.384
315,601127.SH,20220304,42.9,43.81,42,43.22,42.7,0.52,1.2178,91558.46,394583.793
314,601127.SH,20220307,42.5,42.93,40.9,41.53,43.22,-1.69,-3.9102,106365.35,442869.916
313,601127.SH,20220308,40.88,41.61,38.31,38.49,41.53,-3.04,-7.32,145343.23,573047.036
312,601127.SH,20220309,38.5,41.5,37.62,41.35,38.49,2.86,7.4305,238065.63,959867.027
311,601127.SH,20220310,42.08,42.34,40.71,40.8,41.35,-0.55,-1.3301,128280.15,530630.88
310,601127.SH,20220311,39.83,42.26,38.5,41.56,40.8,0.76,1.8627,126505.23,516582.887
309,601127.SH,20220314,41.2,42.2,40.43,40.7,41.56,-0.86,-2.0693,85530.41,352891.951
308,601127.SH,20220315,40.3,40.87,39,39.46,40.7,-1.24,-3.0467,137370.09,545291.906
307,601127.SH,20220316,40,43.41,39.6,43.41,39.46,3.95,10.0101,287954.77,1194331.527
306,601127.SH,20220317,43.65,44.88,42.49,43.65,43.41,0.24,0.5529,228078.86,1000649.522
305,601127.SH,20220318,43.04,45.36,42.99,44.61,43.65,0.96,2.1993,163317.45,726714.791
304,601127.SH,20220321,45,45.8,44,44.55,44.61,-0.06,-0.1345,132654.68,595646.258
303,601127.SH,20220322,44.18,45.13,43.71,44.83,44.55,0.28,0.6285,103163.84,459091.944
302,601127.SH,20220323,45.15,45.15,42.95,43.26,44.83,-1.57,-3.5021,153713.83,671442.722
301,601127.SH,20220324,42.77,42.81,39.99,40.9,43.26,-2.36,-5.4554,189193.27,779205.187
300,601127.SH,20220325,40.73,40.78,39.5,39.66,40.9,-1.24,-3.0318,166044.57,665730.755
299,601127.SH,20220328,40.22,43.63,39.39,43.24,39.66,3.58,9.0267,288785.33,1220009.667
298,601127.SH,20220329,42.95,43.59,41.5,41.81,43.24,-1.43,-3.3071,154867.3,657250.317
297,601127.SH,20220330,42,43.5,41.35,43.17,41.81,1.36,3.2528,136190.76,583193.834
296,601127.SH,20220331,42.98,45.2,42.41,43.05,43.17,-0.12,-0.278,135903.14,591858.629
295,601127.SH,20220401,43.34,46.45,43,45.21,43.05,2.16,5.0174,229899.63,1037774.718
294,601127.SH,20220406,45.69,45.78,44.12,44.71,45.21,-0.5,-1.106,133298.79,594897.668
293,601127.SH,20220407,44.1,45.52,41.97,41.97,44.71,-2.74,-6.1284,156655.29,678994.813
292,601127.SH,20220408,41.97,42.76,41.16,42.05,41.97,0.08,0.1906,85498.17,359352.84
291,601127.SH,20220411,41.5,41.99,39.69,40.03,42.05,-2.02,-4.8038,140439.35,563464.668
290,601127.SH,20220412,40,43.09,39.6,42.89,40.03,2.86,7.1446,164929.99,695494.474
289,601127.SH,20220413,42.33,42.89,41.27,41.35,42.89,-1.54,-3.5906,91620.91,383866.817
288,601127.SH,20220414,42.3,42.8,41.35,41.4,41.35,0.05,0.1209,98726.5,412742.992
287,601127.SH,20220415,40.7,40.9,39.7,40.13,41.4,-1.27,-3.0676,112821.11,452868.317
286,601127.SH,20220418,40.91,44.14,40.51,44.14,40.13,4.01,9.9925,273835.44,1180720.729
285,601127.SH,20220419,44.8,45.45,42.42,43.26,44.14,-0.88,-1.9937,207430.23,907417.394
284,601127.SH,20220420,43.26,44.3,42.52,43.19,43.26,-0.07,-0.1618,127933.99,555403.028
283,601127.SH,20220421,42.57,43.23,40.81,40.98,43.19,-2.21,-5.1169,148456.53,616913.045
282,601127.SH,20220422,40.8,42.32,40.1,41.39,40.98,0.41,1.0005,106041.59,437605.777
281,601127.SH,20220425,41,43,40.08,40.37,41.39,-1.02,-2.4644,157596.53,652324.773
280,601127.SH,20220426,40.72,41.3,36.33,36.33,40.37,-4.04,-10.0074,266979.03,1026562.783
279,601127.SH,20220427,33.1,37.42,32.7,36.68,36.33,0.35,0.9634,337112.61,1161942.801
278,601127.SH,20220428,36,37.3,34.98,36.1,36.68,-0.58,-1.5812,173826.87,626082.704
277,601127.SH,20220429,36.53,39.41,36.36,38.87,36.1,2.77,7.6731,188186.1,711653.548
276,601127.SH,20220505,39.3,40.88,38.73,39.62,38.87,0.75,1.9295,152866,608684.379
275,601127.SH,20220506,38.2,39.4,37.8,37.94,39.62,-1.68,-4.2403,120937.82,464263.601
274,601127.SH,20220509,37.35,38.19,36.36,36.44,37.94,-1.5,-3.9536,105841.09,391777.675
273,601127.SH,20220510,35.64,37.36,34.85,37.31,36.44,0.87,2.3875,91056.83,332488.949
272,601127.SH,20220511,37.31,41.04,37.08,40.01,37.31,2.7,7.2367,301752.74,1213635.819
271,601127.SH,20220512,39.24,40,38.8,39.31,40.01,-0.7,-1.7496,170890.79,671501.487
270,601127.SH,20220513,39.61,43.24,39.57,43.24,39.31,3.93,9.9975,289665.71,1228740.818
269,601127.SH,20220516,44.65,47.3,44.06,45.58,43.24,2.34,5.4117,394582.38,1794569.843
268,601127.SH,20220517,44.99,49.97,44.85,48.16,45.58,2.58,5.6604,366829.4,1770407.646
267,601127.SH,20220518,48,49.8,47.03,47.39,48.16,-0.77,-1.5988,315698.57,1522357.692
266,601127.SH,20220519,46.49,47.66,46.13,47.13,47.39,-0.26,-0.5486,199512.41,936018.914
265,601127.SH,20220520,47.32,48.57,46.69,47.38,47.13,0.25,0.5304,159634.64,758484.002
264,601127.SH,20220523,46.8,48.58,46.28,47.92,47.38,0.54,1.1397,205242.32,975503.879
263,601127.SH,20220524,48.39,49.07,44.78,45.06,47.92,-2.86,-5.9683,257220.96,1204442.13
262,601127.SH,20220525,45.22,46.28,43.67,46.17,45.06,1.11,2.4634,184793.51,833909.361
261,601127.SH,20220526,46.15,47.48,45.21,46.98,46.17,0.81,1.7544,141085.81,653966.355
260,601127.SH,20220527,47,48.5,45.97,47.23,46.98,0.25,0.5321,194041.78,918959.262
259,601127.SH,20220530,48.43,51.95,47.21,51.95,47.23,4.72,9.9936,461799.29,2322393.377
258,601127.SH,20220531,52,55.37,51.55,52.54,51.95,0.59,1.1357,389989.72,2081778.122
257,601127.SH,20220601,52.99,57.79,51.91,57.79,52.54,5.25,9.9924,352839.15,1967483.552
256,601127.SH,20220602,58.02,63.57,58,63.57,57.79,5.78,10.0017,293202.02,1783083.756
255,601127.SH,20220606,67.99,69.93,66,69.25,63.57,5.68,8.935,590640.88,4058883.359
254,601127.SH,20220607,68.21,69.95,64.88,66.6,69.25,-2.65,-3.8267,511726.59,3437721.836
253,601127.SH,20220608,66.71,67.8,64.01,66.68,66.6,0.08,0.1201,463204.63,3058941.057
252,601127.SH,20220609,66.08,68.18,64,65.02,66.68,-1.66,-2.4895,335904.87,2218833.739
251,601127.SH,20220610,64.67,71.52,64.52,71.52,65.02,6.5,9.9969,416397.51,2875345.079
250,601127.SH,20220613,71.99,73.49,67.59,69,71.52,-2.52,-3.5235,505636.21,3559571.035
249,601127.SH,20220614,67,69,63.58,67.03,69,-1.97,-2.8551,575265.69,3793061.015
248,601127.SH,20220615,67,70.43,66.2,66.74,67.03,-0.29,-0.4326,477879.07,3272041.158
