,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
222,601633.SH,20220721,35,35.25,34.01,34.28,35.09,-0.81,-2.3083,244649.13,844237.878
221,601633.SH,20220722,34.55,35.78,34.41,35.19,34.28,0.91,2.6546,353401.15,1245141.225
220,601633.SH,20220725,34.9,35,33.58,33.9,35.19,-1.29,-3.6658,253967.07,864563.042
219,601633.SH,20220726,33.89,34.68,33.8,34.07,33.9,0.17,0.5015,205331.09,703750.767
218,601633.SH,20220727,33.78,34.34,33.51,33.72,34.07,-0.35,-1.0273,199533.12,674279.539
217,601633.SH,20220728,33.8,34.56,33.52,33.83,33.72,0.11,0.3262,254771.56,865569.256
216,601633.SH,20220729,33.83,35.15,33.3,34.47,33.83,0.64,1.8918,401413.26,1376953.314
215,601633.SH,20220801,34.5,36.46,34.03,36.15,34.47,1.68,4.8738,554649.84,1972400.367
214,601633.SH,20220802,35.4,35.5,34.08,34.39,36.15,-1.76,-4.8686,407815.23,1417004.24
213,601633.SH,20220803,34.39,35.54,33.51,33.81,34.39,-0.58,-1.6865,352803.12,1223934.611
212,601633.SH,20220804,33.85,34.2,32,32.47,33.81,-1.34,-3.9633,480714.06,1566523.229
211,601633.SH,20220805,32.48,32.59,31.1,31.73,32.47,-0.74,-2.279,425499.23,1347469.418
210,601633.SH,20220808,31.79,32.44,31.48,32.33,31.73,0.6,1.891,236982.75,762622.364
209,601633.SH,20220809,32.33,32.99,31.99,32.27,32.33,-0.06,-0.1856,206223.75,667535.173
208,601633.SH,20220810,32.27,32.58,31.51,31.63,32.27,-0.64,-1.9833,243761.48,777439.983
207,601633.SH,20220811,31.63,32,31.12,31.86,31.63,0.23,0.7272,253449.2,802611.702
206,601633.SH,20220812,31.87,32.03,31.51,31.55,31.86,-0.31,-0.973,194657.42,616632.319
205,601633.SH,20220815,31.1,31.82,30.85,31.31,31.55,-0.24,-0.7607,188798.95,592073.125
204,601633.SH,20220816,31.38,32.2,31.26,31.44,31.31,0.13,0.4152,280140.85,888457.93
203,601633.SH,20220817,31.54,32.1,30.8,31.9,31.44,0.46,1.4631,321558.51,1012671.334
202,601633.SH,20220818,31.85,32.23,31.18,31.28,31.9,-0.62,-1.9436,263546.36,832054.829
201,601633.SH,20220819,31.3,31.37,30.53,30.59,31.28,-0.69,-2.2059,207521.97,640687.659
200,601633.SH,20220822,30.69,33.65,30.64,33.65,30.59,3.06,10.0033,804536.89,2637354.755
199,601633.SH,20220823,33.9,34.65,33.39,34.35,33.65,0.7,2.0802,733646.5,2489458.92
198,601633.SH,20220824,34.31,34.32,33.39,33.43,34.35,-0.92,-2.6783,366546.93,1236252.496
197,601633.SH,20220825,33.67,35.14,33.1,34.99,33.43,1.56,4.6665,607186.88,2090577.595
196,601633.SH,20220826,34.89,35.72,34.26,35.35,34.99,0.36,1.0289,563505.05,1973221.949
195,601633.SH,20220829,34.47,35.14,33.62,33.96,35.35,-1.39,-3.9321,371455.7,1270385.947
194,601633.SH,20220830,33.96,35.15,33.71,34.2,33.96,0.24,0.7067,304274.31,1051331.541
193,601633.SH,20220831,33.61,33.86,32.19,33.46,34.2,-0.74,-2.1637,380031.18,1248418.913
192,601633.SH,20220901,32.79,33,32.2,32.25,33.46,-1.21,-3.6163,240395.26,783201.916
191,601633.SH,20220902,32.31,32.47,31.25,31.65,32.25,-0.6,-1.8605,238697.1,757107.256
190,601633.SH,20220905,31.66,31.69,30.17,31.19,31.65,-0.46,-1.4534,286646.54,884438.056
189,601633.SH,20220906,31.33,32.03,31.3,31.84,31.19,0.65,2.084,221161.49,702448.934
188,601633.SH,20220907,31.53,32.7,31.38,32.09,31.84,0.25,0.7852,233981.95,752523.899
187,601633.SH,20220908,32.09,32.52,30.85,30.98,32.09,-1.11,-3.459,258716.32,817219.638
186,601633.SH,20220909,31.09,31.48,30.7,31.31,30.98,0.33,1.0652,210716.22,655913.675
185,601633.SH,20220913,31.56,32.42,31.42,32,31.31,0.69,2.2038,221231.41,706900.546
184,601633.SH,20220914,31.45,32.25,31.2,31.74,32,-0.26,-0.8125,236061.34,747163.01
183,601633.SH,20220915,31.84,32,30.2,30.57,31.74,-1.17,-3.6862,262570.7,811738.814
182,601633.SH,20220916,30.3,30.57,28.88,28.88,30.57,-1.69,-5.5283,317025.32,932547.823
181,601633.SH,20220919,28.99,30.5,28.99,29.98,28.88,1.1,3.8089,318761.26,953326.191
180,601633.SH,20220920,30.35,30.82,29.7,29.83,29.98,-0.15,-0.5003,209996.13,634012.74
179,601633.SH,20220921,29.57,29.8,29.02,29.44,29.83,-0.39,-1.3074,172181.83,506438.004
178,601633.SH,20220922,29,29,28.33,28.63,29.44,-0.81,-2.7514,192528.12,552756.584
177,601633.SH,20220923,28.75,29.22,28.05,28.49,28.63,-0.14,-0.489,171189.54,488556.835
176,601633.SH,20220926,28.42,29.13,28.11,28.7,28.49,0.21,0.7371,178826.92,514455.156
175,601633.SH,20220927,28.75,29.4,28.75,29.39,28.7,0.69,2.4042,180498.88,524907.309
174,601633.SH,20220928,29.37,29.38,28.1,28.11,29.39,-1.28,-4.3552,183664.54,523921.098
173,601633.SH,20220929,28.65,28.8,28.02,28.1,28.11,-0.01,-0.0356,171044.55,484287.368
172,601633.SH,20220930,28.05,28.35,27.68,27.8,28.1,-0.3,-1.0676,151081.85,422627.392
171,601633.SH,20221010,27.01,27.36,26,26.12,27.8,-1.68,-6.0432,234567.05,619552.786
170,601633.SH,20221011,26.07,26.36,25.49,26.09,26.12,-0.03,-0.1149,168905.43,436241.075
169,601633.SH,20221012,26.03,26.96,25.51,26.94,26.09,0.85,3.258,189805,497424.008
168,601633.SH,20221013,26.85,27.21,26.4,26.43,26.94,-0.51,-1.8931,161273.01,430530.83
167,601633.SH,20221014,26.77,27.27,26.51,26.97,26.43,0.54,2.0431,187600.52,504572.924
166,601633.SH,20221017,27.5,27.8,26.97,27.49,26.97,0.52,1.9281,241145.06,660594.182
165,601633.SH,20221018,28,28.47,27.43,27.52,27.49,0.03,0.1091,246535.73,686378.439
164,601633.SH,20221019,27.28,27.7,26.8,26.83,27.52,-0.69,-2.5073,169531,460528.247
163,601633.SH,20221020,26.42,27,26.21,26.46,26.83,-0.37,-1.3791,174087.14,461187.492
162,601633.SH,20221021,26.77,26.86,26.21,26.28,26.46,-0.18,-0.6803,128102.93,338973.759
161,601633.SH,20221024,27,28.05,26.6,27.05,26.28,0.77,2.93,368323.51,1008044.748
