,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
273,300357.SZ,20220418,36,36,34.83,35.51,36.38,-0.87,-2.3914,23686.23,83242.82
272,300357.SZ,20220419,35.51,36.64,34.92,35.35,35.51,-0.16,-0.4506,25010.04,89177.854
271,300357.SZ,20220420,35.35,36.15,35.35,35.53,35.35,0.18,0.5092,18662.33,66637.923
270,300357.SZ,20220421,35.26,35.6,33.9,33.91,35.53,-1.62,-4.5595,31199.6,107918.44
269,300357.SZ,20220422,33.9,34.47,33.12,33.95,33.91,0.04,0.118,19744.5,66640.01
268,300357.SZ,20220425,34.13,34.13,32.48,32.8,33.95,-1.15,-3.3873,34987.1,115735.557
267,300357.SZ,20220426,32.48,32.99,31.59,32,32.8,-0.8,-2.439,29454.36,94856.937
266,300357.SZ,20220427,33,38.4,32.84,38.4,32,6.4,20,80083.75,291592.819
265,300357.SZ,20220428,38.59,40.3,37.81,39.56,38.4,1.16,3.0208,95116.09,371889.848
264,300357.SZ,20220429,38.97,41.16,38.7,40.94,39.56,1.38,3.4884,63171.98,255181.589
263,300357.SZ,20220505,40.48,41.76,40.12,40.8,40.94,-0.14,-0.342,46003.81,188751.642
262,300357.SZ,20220506,39.88,45.65,39.6,44.28,40.8,3.48,8.5294,68258.42,299115.861
261,300357.SZ,20220509,44.83,45.05,42.31,43.26,44.28,-1.02,-2.3035,41404.69,179257.132
260,300357.SZ,20220510,42.77,43.88,42.04,43.45,43.26,0.19,0.4392,32491.11,140563.597
259,300357.SZ,20220511,43.44,44.34,42.7,42.83,43.45,-0.62,-1.4269,39006.5,170111.292
258,300357.SZ,20220512,42.29,43.62,42.11,43.06,42.83,0.23,0.537,24491.05,105270.103
257,300357.SZ,20220513,43.56,43.6,42.4,42.9,43.06,-0.16,-0.3716,19527.58,83920.676
256,300357.SZ,20220516,43.36,44.29,42.59,43.42,42.9,0.52,1.2121,32106.21,139404.075
255,300357.SZ,20220517,43.4,43.49,42,43.27,43.42,-0.15,-0.3455,18076.19,77337.343
254,300357.SZ,20220518,43.09,44,42.5,42.8,43.27,-0.47,-1.0862,25309.96,109583.032
253,300357.SZ,20220519,42.24,42.96,42.19,42.7,42.8,-0.1,-0.2336,14355.05,61127.624
252,300357.SZ,20220520,42.51,44.86,42.45,43.49,42.7,0.79,1.8501,25825.21,113155.526
251,300357.SZ,20220523,43.61,44.15,42.9,43.3,43.49,-0.19,-0.4369,13059.26,56523.704
250,300357.SZ,20220524,43.17,43.5,41.2,41.3,43.3,-2,-4.6189,30022.38,125946.61
249,300357.SZ,20220525,41.46,42.09,41.06,41.5,41.3,0.2,0.4843,20075.8,83391.095
248,300357.SZ,20220526,41.55,41.64,40.41,41.02,41.5,-0.48,-1.1566,17604.74,71857.119
247,300357.SZ,20220527,41.19,41.85,40.41,40.81,41.02,-0.21,-0.5119,16873.4,69375.466
246,300357.SZ,20220530,41.07,42.68,40.43,42.63,40.81,1.82,4.4597,34570.81,145111.887
245,300357.SZ,20220531,42.17,48.01,41.63,47.1,42.63,4.47,10.4856,66271.74,301411.283
244,300357.SZ,20220601,47.33,47.43,45.1,45.38,47.1,-1.72,-3.6518,42413.23,195071.592
